	Slowo	Opis	Slowo_Eng	Opis_Eng	Slowo_Hun	Opis_Hun
0	Alkohol etylowy	substancja znajdująca się w winie i innych napojach alkoholowych będąca jednym z alkoholi prostych. Spożyty w nadmiernych ilościach odpowiada przede wszystkim za stan upojenia i konsekwencje z nim związane. W niewielkich dawkach potrafi wpływać w sposób korzystny na kondycję organizmu i mieć właściwości lecznicze. 	Ethanol	a substance found in wine and other alcoholic beverages which is one of the simple alcohols. Excessive amounts are responsible primarily for the state of intoxication and the consequences associated with it. In small doses it can affect the body condition and its healing properties.	etanol	a borban és egyéb alkoholtartalmú italokban található olyan anyag, amely az egyik egyszerű alkohol. A túlzott összegek elsősorban a mérgezés állapotára és az ezzel járó következményekre irányulnak. Kis dózisokban befolyásolhatja a test állapotát és gyógyító tulajdonságait.
1	Antocyjany	barwniki zawarte w roślinach, także w winogronach, głównie ich skórce. Odpowiadają za barwę i pH wina, szczególnie czerwonego. Nazywane są również pigmentami.	anthocyanins	dyes included in the plants, also in the grapes, mainly their peels. They are responsible for the color and pH of the wine, especially red. They are also called pigments.	antocianinok	színezékek a növényekbe, még a szőlőben is, főleg a héjuk. Ők felelősek a bor színeért és pH-értékéért, különösen vörös. Ezeket pigmenteknek is nevezik.
2	Apelacja	określenie zbioru praw związanych ze sposobem, jakością i obszarem powstawania win, które nazwę danej apelacji noszą na swojej etykiecie.	Appeal	Identify the set of rights associated with the way, the quality and the area of ​​origin of the wines that the name of the appellation they carry on their label.	Fellebbezés	Határozza meg a borok útjával, minőségével és származási területeivel kapcsolatos jogok sorát, hogy a címkéjén szereplő elnevezés neve legyen.
3	Azienda agricola	posiadłość winiarska we Włoszech, produkująca wina tylko z winogron wyprodukowanych we własnych winnicach.	Farm	Wine estate in Italy, producing wine only from grapes produced in their own vineyards.	Farm	Borvidék Olaszországban, kizárólag a saját szőlőültetvényeiből származó szőlőből.
4	Azienda vinicola	posiadłość winiarska we Włoszech, produkująca wina także z win lub gron zakupionych od innych producentów.	Winery	Wine estate in Italy, which also produces wine from wines or grapes purchased from other producers.	Pincészet	Borvidék Olaszországban, amely borokból vagy szőlőből származó borokat is termel más termelőktől.
5	Baume	australijska jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.	Baume	Australian unit of residual sugar in must. Directly related to the maturity of the bunch and the potential alcoholic potential of the wine.	balzsam	A maradék cukor Ausztráliai egysége a must-ban. Közvetlenül a csokor érettségéhez és a bor potenciális alkoholtartalmához.
6	Barrique	najczęściej dębowa beczka pochodząca z Bordeaux, obecnie popularna na całym świecie. Jej pojemność wynosi 225l. Potrafi wyraźnie zmienić kształt i smak wina, szczególnie, gdy jest nowa.	Barrique	mostly oak casks originating from Bordeaux, now popular all over the world. Its capacity is 225l. He can clearly change the shape and taste of wine, especially when it is new.	barrique	többnyire tölgyfadarabok, amelyek Bordeaux-ból származnak, ma már népszerűek a világ minden tájáról. A kapacitása 225 liter. Világosan megváltoztathatja a bor formáját és ízét, különösen akkor, ha új.
7	Battonage	czynność możliwa do wykonywania w czasie różnych etapów winifikacji. Oznacza mieszanie wina nad osadem. W dawnych czasach mieszanie wykonywano manualnie kijem, w jęz. francuskim 	battonage	The activity can be performed during different stages of vinification. It means mixing wine over sediment. In the old days, mixing was done manually with a stick, in English. French	battonage	A tevékenység elvégezhető a borászat különböző fázisaiban. Ez azt jelenti, hogy a bort az üledék fölé keverik. A régi időkben a keverést manuálisan végeztük egy bot segítségével, angolul. Francia
8	Bodega	słowo oznaczające w Hiszpanii piwnicę lub producenta win.	Bodega	A word meaning a cellar or a wine producer in Spain.	pince	Egy szó spanyolországi pince vagy bortermelő.
9	Botrytis	grzyb atakujący grona winorośli. Forma szlachetna Botrytis cinerea nazywana jest „czerwoną pleśnią” i pozwala uzyskać wyjątkowe wina słodkie. Forma szkodliwa nazywana „szarą pleśnią” prowadzi do gnicia gron.	Botrytis	"mushroom attacking the grape cluster. Botrytis cinerea is known as ""red mold"" and allows you to obtain exceptional sweet wines. A harmful form called ""gray mold"" leads to rotting grapes."	Botrytis	"gomba támadja a szőlőfürtöt. A Botrytis cinerea ""piros forma"" néven ismert, és kivételes édes borokat kap. A ""szürke penész"" káros formája rothadó szőlőhöz vezet."
10	Brettanomyces	usterka wina spowodowana szkodliwą formą drożdży, nazywana popularnie „brett”. Jej skutkiem jest zmiana charakteru wina poprzez dodanie smaku określanego jako „mysi”.	Brettanomyces	"The fault of wine caused by the harmful form of yeast, commonly called ""brett"". The effect is to change the nature of the wine by adding a taste called ""mouse""."	Brettanomyces	"A bor hibája, amelyet az élesztő ártalmas formája okoz, amit általában ""brettnek"" neveznek. Ennek hatása az, hogy megváltoztatják a bor természetét azáltal, hogy ízelítőt ""egérnek"" neveznek."
11	Brix 	amerykańska jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.	Brix	American unit of residual sugar in must. Directly related to the maturity of the bunch and the potential alcoholic potential of the wine.	Brix	A maradék cukor amerikai egysége a must-ban. Közvetlenül a csokor érettségéhez és a bor potenciális alkoholtartalmához.
12	Cantina	słowo oznaczające we Włoszech piwnicę lub producenta win.	Cantina	a word meaning a cellar or a wine producer in Italy.	pince	egy szó, amely pincét vagy bortermelőt jelent Olaszországban.
13	Chateau	francuski termin oznaczający (szczególnie w Bordeaux) posiadłość władającą winnicami i produkującą wino. 	Chateau	French term meaning (especially in Bordeaux) a vineyard and wine producing estate.	Chateau	Francia kifejezés jelentése (különösen Bordeaux-ban) egy szőlő- és bortermelő birtok.
14	Clos	słowo oznaczające we Francji, głównie Burgundii, a także w katalońskim Priorat, winnicę otoczoną murem.	Clos	the word signifying in France, mainly Burgundy, as well as the Catalan Priorat, vineyard walled.	zárva	a franciaországi, főleg burgundiai, valamint a katalán Priorat, a szőlőültetvény falaként jelző szó.
15	Choroba Pierce’a	roznoszona przez owady z grupy skoczków, nieuleczalna choroba winorośli prowadząca do jej obumarcia w ciągu kilku lat od pierwszych symptomów, którymi są plamy martwicy na liściach.	Pierce'a disease	Incubated by insects from the group of jumpers, incurable vine disease leading to her death within a few years after the first symptoms, which are spots of necrosis on the leaves.	Pierce betegsége	A jumperek csoportjából származó rovarok inkubálják a gyógyíthatatlan szőlőbetegséget, amely az első tünetek után néhány év elteltével halálához vezet, ami a levelek elhalásának foltjai.
16	Coulure 	pochodzący z języka francuskiego termin opisujący zjawisko zachodzące z przyczyn atmosferycznych polegające na niezawiązaniu się wszystkich pąków na winoroślach w owoce.	coulure	French-speaking term describing the phenomenon occurring due to atmospheric causes, consisting in the failure of all the buds on the vines to fruit.	coulure	Franciaul beszélő kifejezés, amely az atmoszférikus okok miatt bekövetkező jelenséget írja le, amely a szőlő összes gyümölcseinek gyümölcseinek gyengeségét jelenti.
17	Cru	pochodzące z języka francuskiego słowo określające status lub jakość danej winnicy. Obecnie używany także poza Francją, raczej informacyjnie podczas rozmów a nie oficjalnie na etykietach.	Cru	French word for the status or quality of the vineyard. Currently used outside of France, rather informative during talks and not officially on labels.	szüret	Francia szó a szőlőültetvény állapotára vagy minőségére. Jelenleg Franciaországon kívüli, meglehetősen informatív a tárgyalások során, és nem hivatalosan a címkéken.
18	Cru classe	pochodzący z języka francuskiego termin używany w Bordeaux do określenia statusu klasyfikacji parceli. Zależnie od apelacji systemy stopniowania i zasad przyznawania statusu różnią się.	Raw class	French-language term used in Bordeaux to determine the classification status of a parcel. Depending on the appeal, grading systems and rules for granting status vary.	Nyers osztály	Francia nyelvű fogalom, amelyet Bordeaux-ban használnak a csomag besorolásának megállapításához. A fellebbezéstől függően a minősítési rendszerek és a státusz megadási szabályai változhatnak.
19	Cukier resztowy	cukier pozostający w winie po przefermentowaniu do założonego pułapu alkoholu. Bezpośrednio związany ze smakiem i typem wina. Jego stężenie podaje się w gramach na litr (g/l).	Sugar rest	The sugar remains in the wine after digestion to the preset alcohol limit. Directly associated with the taste and type of wine. Its concentration is given in grams per liter (g / l).	A cukor pihenése	A cukor marad a borban, az emésztés után, az előre beállított alkohol határértéken. Közvetlenül a bor ízének és típusának. A koncentrációja gramm / liter (g / l).
20	Cukier rezydualny	cukier zawarty w gronach lub moszczu, bezpośrednio związany z możliwą do osiągnięcia alkoholowości wina a także jego smakiem. Jego stężenie podaje się zależnie od regionu świata w stopniach Balling, Baume, Brix, Oeschle lub Plato.	Residual sugar	sugar contained in grapes or must, directly related to the wine's possible alcoholic strength and its taste. Its concentration is given according to the region of the world in Balling, Baume, Brix, Oeschle or Plato.	Maradék cukor	a szőlőben vagy cukrozatban lévő cukor közvetlenül kapcsolódik a bor lehetséges alkoholtartalmához és ízéhez. Összpontosulása a Balling, a Baume, a Brix, az Oeschle vagy a Plato világának régiója szerint történik.
21	Cuvee	używane obecnie na całym świecie słowo pochodzące z języka francuskiego, oznaczające uzyskanie wina metodą zestawienia win lub gron pochodzących z kilku szczepów lub winnic.	Cuvee	The word currently used throughout the world derives from French, meaning wine obtained by the method of compiling wines or grapes from several strains or vineyards.	Cuvée	A világon jelenleg használt szó a francia eredetű, azaz a borok vagy a szőlő többféle törzsből vagy szőlőből történő összeállításának módszerével nyert bor.
22	Dokwaszanie	dodawanie do moszczu lub gotowego wina kwasu, lub innych substancji, np. wytrawnego wina, mogących podnieść odczuwalną lub rzeczywistą kwasowość wina.	acidification	adding to the must or finished wine of acid, or other substances, such as dry wine, which may increase the perceptible or actual acidity of the wine.	savasodás	hozzá kell adni a savas vagy kész savas borhoz vagy más olyan anyagokhoz, mint például a száraz bor, amely növelheti a bor észrevehető vagy tényleges savasságát.
23	Domaine	francuski termin oznaczający (szczególnie w Burgundii) posiadłość produkującą wino.	Field	French term meaning (especially in Burgundy) wine estate.	Mező	Francia kifejezés jelentése (különösen Burgundia) borvidék.
24	Dosage	francuski termin określający (szczególnie w Szampanii) ilość cukru dodanego do wina musującego przed zamknięciem. 	Dosage	French term specifying (especially in Champagne) the amount of sugar added to the sparkling wine before closing.	Adagolás	Francia kifejezés, amely meghatározza (különösen a Champagne-ban) a pezsgő hozzáadott cukor mennyiségét a zárás előtt.
25	Elevage	pochodzący z języka francuskiego termin określający zbiór czynności wykonywanych w winiarni podczas dojrzewania wina, zawartych pomiędzy fermentacją a jego butelkowaniem.	Breeding	French term refers to a set of activities performed in a wine cellar during the ripening of wine between the fermentation and its bottling.	Tenyésztés	A francia fogalom egy sor borászati ​​pincészettel foglalkozik, amelyet a fermentáció és a palackozás közötti érlelés során kell végrehajtani.
26	Enologia	termin pochodzący od greckich słów 	winemaking	a term derived from Greek words	borkészítés	egy kifejezés görög szavakból származik
27	En primeur 	francuski termin oznaczający możliwość zakupu wina przed jego zabutelkowaniem, na podstawie próbek z beczek ocenianych w następnym roku po zbiorach.	In the fore	French term denoting the possibility of buying wine before being baked, based on samples from barrels assessed in the following year after harvest.	Előre	Francia kifejezés, amely azt jelenti, hogy a bort a sütés előtt vásárolják, a betakarítást követő következő évben értékelt hordókból származó minták alapján.
28	Fermentacja	proces przemiany cukru zawartego w moszczu przez kultury drożdży w alkohol i dwutlenek węgla.	Fermentacja	The process of converting the sugar contained in the must through the yeast culture into alcohol and carbon dioxide.	Fermentacja	Az eljárás során a mustben lévő cukrot az élesztőkultúrán keresztül alkohollá és széndioxiddá alakítják át.
29	Filoksera 	pochodząca z Ameryki mszyca żywiąca się korzeniami winorośli, doprowadzając do jej obumarcia. Niektóre amerykańskie rodziny winorośli są na nią uodpornione, dlatego obecnie odmiany Vitis vinifera szczepi się na podkładkach uzyskanych z tych rodzin.	Phylloxera	American aphid that feeds on the roots of the vine, leading to its death. Some American vine families are immune to it, so now Vitis vinifera is grafted onto the rootstock obtained from these families.	Filoxéra	Amerikai levéltetű, amely a szőlő gyökereire táplálkozik, ami halálához vezet. Egyes amerikai szőlőfajták immunisak, ezért a Vitis vinifera-t az e családokból származó alanyra oltják.
30	Filtrowanie 	zabieg polegający na przepuszczaniu wina przez filtry o różnych sposobach działania, którego celem jest usunięcie zanieczyszczeń i drobnoustrojów w nim się znajdujących.	Filtration	The treatment consists of passing the wine through filters with different modes of action, the purpose of which is to remove impurities and microorganisms in it.	Szűrés	A kezelés abból áll, hogy a bort különböző módon befolyásolja a bort, amelynek célja a szennyeződések és mikroorganizmusok eltávolítása.
31	Flor 	termin pochodzący z jęz. hiszpańskiego oznaczający kożuch powstający na powierzchni dojrzewającego wina z obumierających drożdży na winach Sherry. Aktualnie używany na całym świecie.	Flower	the term comes from Spanish marking a sheepskin emerging on the surface of ripening wine from dying yeast on Sherry wines. Currently used worldwide.	Virág	a kifejezés spanyol megjelölésből származik, amely egy érdes borkultúra felszínén megjelenő báránybőrből származik a Sherry-i borokból. Jelenleg világszerte használják.
32	Grand Cru 	pochodzący z języka francuskiego termin określający winnicę najwyższej jakości, głównie w Burgundii, ale także Alzacji, Szampanii i innych.	Grand Cru	French term refers to the vineyard of the highest quality, mainly in Burgundy, but also Alsace, Champagne and other.	Grand Cru	A francia kifejezés a legmagasabb minőségű szőlőskertre vonatkozik, főleg Burgundia, de Elzász, Champagne és egyéb.
33	Keller	słowo oznaczające w Niemczech piwnicę win.	Keller	A word for the wine cellar in Germany.	Keller	Egy szó a borospince Németországban.
34	Klarowanie	technika oczyszczania wina znajdującego się w kadzi lub beczce. Do przeprowadzenia tej czynności używa się białek kurzych jaj lub bentonitu, które opadając na dno pojemnika wiążą i zabierają ze sobą zanieczyszczenia. 	clarification	technique of cleaning the wine in the vat or barrel. Eggs or bentonite proteins are used to carry out this activity, which, when dropped to the bottom of the container, binds and removes contaminants.	derítés	a bor tisztításának technikája a palackban vagy hordóban. Tojást vagy bentonit fehérjéket használnak fel erre a tevékenységre, amely a tartály aljára történő leeresztésekor megköti és eltávolítja a szennyeződéseket.
